Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_used(W), temperature(C), Frequency(MHz)
09:50:24.375475, 0, 0, 0, 1/8119, 6.271, 32, 139
09:50:24.579026, 0, 0, 0, 1/8119, 6.173, 32, 139
09:50:24.782652, 0, 0, 0, 1/8119, 6.173, 32, 139
09:50:24.986287, 0, 0, 0, 1/8119, 6.173, 32, 139
09:50:25.189911, 0, 0, 0, 1/8119, 6.173, 32, 139
09:50:25.393527, 0, 0, 0, 1/8119, 6.269, 32, 139
09:50:25.597144, 0, 0, 0, 1/8119, 6.173, 32, 139
09:50:25.800778, 0, 0, 0, 1/8119, 6.269, 32, 139
09:50:26.014297, 0, 0, 0, 1/8119, 8.959, 32, 139
09:50:26.217797, 0, 0, 0, 1/8119, 6.173, 32, 139
09:50:26.421397, 0, 0, 0, 1/8119, 6.173, 32, 139
09:50:26.625014, 0, 0, 0, 1/8119, 6.173, 32, 139
09:50:26.828587, 0, 0, 0, 1/8119, 6.269, 32, 139
09:50:27.032159, 0, 0, 0, 1/8119, 6.99, 32, 139
09:50:27.235727, 0, 0, 0, 1/8119, 6.173, 32, 139
09:50:27.439621, 0, 0, 0, 1/8119, 6.269, 32, 139
09:50:27.643472, 0, 0, 0, 1/8119, 6.269, 32, 139
09:50:27.847102, 0, 0, 0, 1/8119, 6.702, 32, 139
09:50:28.050733, 0, 0, 0, 1/8119, 6.798, 32, 139
09:50:28.254456, 0, 0, 0, 1/8119, 6.606, 32, 139
09:50:28.458097, 0, 0, 0, 1/8119, 6.606, 32, 139
09:50:28.661723, 0, 0, 0, 1/8119, 6.364, 32, 139
09:50:28.865351, 0, 0, 0, 1/8119, 6.606, 32, 139
09:50:29.068983, 0, 0, 0, 1/8119, 6.364, 32, 139
